id,path
2336,43 41 43 23 23 25 26
4444,25 15 25 25 25 59 60 26
1361,23 61 23 25 15 16
966,69 70 42
5748,15 25 25 15 16 50
4791,61 7 47 49 15 16 50 48 68 78
5240,39 75 55 23 53 54
1021,43 23 51 52
2812,43 41 43 23 23 24 44
6473,11 12 10 108 8
248,23 23 23 24 24
5502,39 75 55 23 25 25 26 26
7547,15 27 11 29 31 15 16 26 24 24
446,61 23 61 23 23 24 24 24
5403,53 55 23 7 47 49 15 16 26 24 62
5566,23 53 55 23 23 25 25 15 16 26 24
3993,23 23 23 51 25 26 26 24 24 24
7170,69 70 62
3818,23 43 23 23 61 23 23 25 26
2,3 4 2
2786,15 25 25 15 16 26
5986,43 23 43 23 41 43 25 26
590,23 61 23 7 47 49 59 60 26
1947,23 57 59 60 26
5106,23 61 23 25 15 16 26
3960,23 23 23 24 44
7143,11 12 10 108 64
347,23 7 47 49 15 16 50 48
2063,63 19 13 91 93 95 96
410,23 23 23 25 26
4103,43 23 23 25 15 25 15 16 50 48 38
1585,15 73 25 15 16 26 52 24
441,23 23 23 24 62
1960,23 57 59 60 16
2364,43 23 23 41 43 23 25 15 16 26
883,15 25 15 16 26 24 24 24 24
1957,23 57 59 60 58
2611,5 35 36 32 30
1791,43 23 53 54
4152,23 75 55 23 7 47 49 15 16 26 44
4274,23 23 23 61 23 24 24 24 24
6486,67 77 67 83 84
6122,23 24 62 24 62 24 62
5751,23 41 43 23 53 54
677,37 9 10
4008,23 23 25 15 16 50 48 108 8
2142,43 23 25 25 15 25 15 16 26
6169,53 55 23 7 47 49 15 16 26 24 44
5422,125 126 12 18 14
3710,23 7 107 108 8
3689,77 67 77 67 19 21 13 14
3949,15 25 15 16 26 24 24 24 44
3330,67 77 67 31 32 30
4939,13 17 11 29 30 12 46
467,23 24 62 24 62 24 24
499,53 55 23 7 47 49 15 16 26 24 24
7636,41 43 23 23 23 43 23 43 44
2843,23 75 55 23 7 47 49 15 16 26 24
4841,47 48 68 78 68
5913,23 61 23 23 25 15 16 26 24 24
4817,43 23 43 23 23 25 15 16 26
5746,19 13 17 18 16 50 48 68
7726,15 25 25 15 17 11 29 30 12
6954,111 113 95 96
100,5 35 36 34 32
7819,43 23 7 47 49 15 16 26 24 24 24 24
6607,67 77 67 77 78
3554,15 25 15 15 16 16 50 48 68
211,43 23 25 15 16 26 52
2306,43 23 25 59 25 15 16 26
3042,23 61 23 41 43 44
6820,23 23 23 25 15 25 15 16 26 24
1472,41 43 23 7 47 49 15 16 26 24 24
6745,15 25 15 71 25 15 25 15 16
5305,43 23 23 43 23 25 25 15 16 26 24
1893,5 35 36 34 46
1931,19 21 22 104 38
7834,19 13 17 18 86
7247,61 43 7 9 11 29 30 12
6660,53 55 23 23 23 25 15 16
4412,75 55 23 7 9 11 29 30 12 46
2883,43 23 25 15 73 25 15 16 50 48
2358,109 77 67 47 48 8
7840,25 25 25 25 15 16 26 52 24
947,43 23 25 15 16 26 44
5188,53 55 23 53 55 23 23 24 44
6755,23 7 47 49 15 27 11 29 30 12 46
6180,49 15 16 26 52 24 24 44
859,43 23 25 15 16 26 16
3309,53 55 23 53 55 23 23 25 26
1412,29 81 55 23 7 9 11 29 30 12
3267,43 44 24 24 24 24 44
2181,29 81 55 23 7 9 11 29 30 10
201,43 23 25 15 16 26 24
2453,49 15 16 26 52 24 24 62
3410,23 39 7 47 49 15 16 50 48 68
5024,5 35 36 34 102
7130,43 23 43 43 41 43 44
5341,61 43 23 41 43 44
5442,43 23 25 15 16 26 132
581,41 43 23 25 59 60 26
5134,9 11 29 30 12 10 8 64
